Chemical,Monitor,Date Time ,Reading
Appluimonia,6,4/1/16 3:00,0.45342
Appluimonia,7,4/1/16 3:00,0.446928
Methylosmolene,6,4/1/16 3:00,0.437154
AGOC-3A,7,4/1/16 3:00,0.405114
Appluimonia,9,4/1/16 3:00,0.378197
Chlorodinine,3,4/1/16 3:00,0.376071
Chlorodinine,6,4/1/16 3:00,0.364682
AGOC-3A,8,4/1/16 3:00,0.363091
Chlorodinine,1,4/1/16 3:00,0.357711
Methylosmolene,1,4/1/16 3:00,0.353672
Chlorodinine,4,4/1/16 3:00,0.321624
Appluimonia,5,4/1/16 3:00,0.319679
Methylosmolene,5,4/1/16 3:00,0.300778
Appluimonia,1,4/1/16 3:00,0.288575
AGOC-3A,2,4/1/16 3:00,0.280231
Appluimonia,4,4/1/16 3:00,0.26598
Appluimonia,3,4/1/16 3:00,0.26131
Methylosmolene,4,4/1/16 3:00,0.246773
AGOC-3A,5,4/1/16 3:00,0.242014
AGOC-3A,9,4/1/16 3:00,0.198875
AGOC-3A,4,4/1/16 3:00,0.15624
Methylosmolene,2,4/1/16 3:00,0.124396
AGOC-3A,1,4/1/16 3:00,0.0895294
Methylosmolene,7,4/1/16 3:00,0.0808523
Chlorodinine,2,4/1/16 3:00,0.0622761
Chlorodinine,5,4/1/16 3:00,0.0587969
AGOC-3A,3,4/1/16 3:00,0.0585907
Methylosmolene,3,4/1/16 3:00,0.0347694
Chlorodinine,7,4/1/16 3:00,0.0144352
Chlorodinine,3,4/1/16 4:00,1.1394
Chlorodinine,7,4/1/16 4:00,1.03067
AGOC-3A,7,4/1/16 4:00,0.856971
Appluimonia,9,4/1/16 4:00,0.734143
AGOC-3A,2,4/1/16 4:00,0.714903
Methylosmolene,3,4/1/16 4:00,0.667903
Methylosmolene,2,4/1/16 4:00,0.641762
Appluimonia,3,4/1/16 4:00,0.636766
AGOC-3A,1,4/1/16 4:00,0.618398
AGOC-3A,8,4/1/16 4:00,0.523747
AGOC-3A,3,4/1/16 4:00,0.51271
AGOC-3A,6,4/1/16 4:00,0.4967
Methylosmolene,5,4/1/16 4:00,0.476344
Chlorodinine,6,4/1/16 4:00,0.405011
Chlorodinine,4,4/1/16 4:00,0.390987
AGOC-3A,4,4/1/16 4:00,0.375753
AGOC-3A,5,4/1/16 4:00,0.371454
Appluimonia,1,4/1/16 4:00,0.33195
Chlorodinine,8,4/1/16 4:00,0.320612
Methylosmolene,6,4/1/16 4:00,0.313513
Methylosmolene,7,4/1/16 4:00,0.312161
Chlorodinine,2,4/1/16 4:00,0.299912
Methylosmolene,1,4/1/16 4:00,0.284877
Methylosmolene,4,4/1/16 4:00,0.281923
AGOC-3A,9,4/1/16 4:00,0.25342
Appluimonia,5,4/1/16 4:00,0.246868
Appluimonia,7,4/1/16 4:00,0.168924
Appluimonia,2,4/1/16 4:00,0.146269
Appluimonia,8,4/1/16 4:00,0.129247
Chlorodinine,9,4/1/16 4:00,0.127112
Appluimonia,4,4/1/16 4:00,0.119788
Chlorodinine,1,4/1/16 4:00,0.117581
Methylosmolene,8,4/1/16 4:00,0.0899369
Methylosmolene,9,4/1/16 4:00,0.0559182
Chlorodinine,5,4/1/16 4:00,0.033643
Appluimonia,6,4/1/16 4:00,0.0296883
Chlorodinine,3,4/1/16 5:00,2.79331
AGOC-3A,8,4/1/16 5:00,1.03184
Methylosmolene,1,4/1/16 5:00,0.989826
Methylosmolene,3,4/1/16 5:00,0.916534
AGOC-3A,3,4/1/16 5:00,0.69974
Appluimonia,3,4/1/16 5:00,0.664029
Chlorodinine,8,4/1/16 5:00,0.649797
Chlorodinine,7,4/1/16 5:00,0.512425
Chlorodinine,4,4/1/16 5:00,0.446033
Appluimonia,8,4/1/16 5:00,0.421384
Chlorodinine,9,4/1/16 5:00,0.378493
Methylosmolene,9,4/1/16 5:00,0.367007
Methylosmolene,6,4/1/16 5:00,0.36684
AGOC-3A,1,4/1/16 5:00,0.294556
Appluimonia,2,4/1/16 5:00,0.285482
Methylosmolene,4,4/1/16 5:00,0.28066
Appluimonia,4,4/1/16 5:00,0.271384
Methylosmolene,5,4/1/16 5:00,0.259023
Appluimonia,7,4/1/16 5:00,0.256853
Appluimonia,9,4/1/16 5:00,0.253563
AGOC-3A,2,4/1/16 5:00,0.252217
AGOC-3A,5,4/1/16 5:00,0.238353
AGOC-3A,6,4/1/16 5:00,0.209591
Methylosmolene,7,4/1/16 5:00,0.195448
Chlorodinine,5,4/1/16 5:00,0.168359
Chlorodinine,6,4/1/16 5:00,0.148461
Appluimonia,5,4/1/16 5:00,0.147356
Chlorodinine,2,4/1/16 5:00,0.138576
AGOC-3A,7,4/1/16 5:00,0.116403
Chlorodinine,1,4/1/16 5:00,0.108269
Appluimonia,6,4/1/16 5:00,0.0518588
Appluimonia,1,4/1/16 5:00,0.0388837
AGOC-3A,9,4/1/16 5:00,0.0318543
Methylosmolene,2,4/1/16 5:00,0.0203157
Methylosmolene,8,4/1/16 5:00,0.00622426
AGOC-3A,4,4/1/16 5:00,0.00241546
Chlorodinine,3,4/1/16 6:00,3.94462
AGOC-3A,7,4/1/16 6:00,3.81396
Methylosmolene,3,4/1/16 6:00,2.05302
Appluimonia,7,4/1/16 6:00,0.969027
Methylosmolene,7,4/1/16 6:00,0.940167
AGOC-3A,3,4/1/16 6:00,0.822506
Appluimonia,6,4/1/16 6:00,0.78524
Chlorodinine,6,4/1/16 6:00,0.734936
Chlorodinine,8,4/1/16 6:00,0.681112
Appluimonia,2,4/1/16 6:00,0.678525
Methylosmolene,8,4/1/16 6:00,0.673679
Chlorodinine,9,4/1/16 6:00,0.590046
Appluimonia,3,4/1/16 6:00,0.552638
AGOC-3A,6,4/1/16 6:00,0.537672
Chlorodinine,2,4/1/16 6:00,0.524311
Methylosmolene,2,4/1/16 6:00,0.378806
AGOC-3A,9,4/1/16 6:00,0.361752
AGOC-3A,8,4/1/16 6:00,0.348775
Methylosmolene,4,4/1/16 6:00,0.329487
Chlorodinine,1,4/1/16 6:00,0.32179
Methylosmolene,1,4/1/16 6:00,0.250966
Chlorodinine,4,4/1/16 6:00,0.249135
AGOC-3A,4,4/1/16 6:00,0.2396
Appluimonia,8,4/1/16 6:00,0.225316
AGOC-3A,1,4/1/16 6:00,0.210431
AGOC-3A,2,4/1/16 6:00,0.171442
Methylosmolene,5,4/1/16 6:00,0.167723
Methylosmolene,9,4/1/16 6:00,0.148385
Methylosmolene,6,4/1/16 6:00,0.126295
Appluimonia,5,4/1/16 6:00,0.105537
Appluimonia,4,4/1/16 6:00,0.104948
Appluimonia,9,4/1/16 6:00,0.0848154
AGOC-3A,5,4/1/16 6:00,0.0686394
Chlorodinine,7,4/1/16 6:00,0.0627053
Chlorodinine,5,4/1/16 6:00,0.0278427
Appluimonia,1,4/1/16 6:00,0.0228912
AGOC-3A,3,4/1/16 7:00,4.78659
Chlorodinine,3,4/1/16 7:00,3.35156
AGOC-3A,8,4/1/16 7:00,1.02109
Chlorodinine,8,4/1/16 7:00,0.946475
Appluimonia,6,4/1/16 7:00,0.874363
Appluimonia,2,4/1/16 7:00,0.638567
Methylosmolene,6,4/1/16 7:00,0.602402
Chlorodinine,6,4/1/16 7:00,0.544958
Chlorodinine,2,4/1/16 7:00,0.542413
Methylosmolene,4,4/1/16 7:00,0.502477
Appluimonia,3,4/1/16 7:00,0.452319
AGOC-3A,7,4/1/16 7:00,0.426199
Appluimonia,8,4/1/16 7:00,0.421081
Appluimonia,7,4/1/16 7:00,0.386387
Methylosmolene,5,4/1/16 7:00,0.386002
Methylosmolene,3,4/1/16 7:00,0.375589
Chlorodinine,5,4/1/16 7:00,0.343747
Chlorodinine,7,4/1/16 7:00,0.333749
AGOC-3A,1,4/1/16 7:00,0.271824
Appluimonia,9,4/1/16 7:00,0.268262
Methylosmolene,9,4/1/16 7:00,0.268067
Methylosmolene,2,4/1/16 7:00,0.221445
Chlorodinine,9,4/1/16 7:00,0.213374
Chlorodinine,1,4/1/16 7:00,0.188189
AGOC-3A,4,4/1/16 7:00,0.170572
AGOC-3A,5,4/1/16 7:00,0.155064
AGOC-3A,2,4/1/16 7:00,0.0958847
Methylosmolene,7,4/1/16 7:00,0.0929588
Appluimonia,5,4/1/16 7:00,0.089142
Methylosmolene,1,4/1/16 7:00,0.072075
Methylosmolene,8,4/1/16 7:00,0.0330591
AGOC-3A,9,4/1/16 7:00,0.0320344
Appluimonia,4,4/1/16 7:00,0.025392
AGOC-3A,6,4/1/16 7:00,0.0231199
Chlorodinine,4,4/1/16 7:00,0.0142187
Appluimonia,1,4/1/16 7:00,0.0100301
Chlorodinine,3,4/1/16 8:00,3.83947
Appluimonia,3,4/1/16 8:00,2.10568
AGOC-3A,3,4/1/16 8:00,1.61156
Appluimonia,8,4/1/16 8:00,1.23009
Methylosmolene,3,4/1/16 8:00,0.917269
Appluimonia,6,4/1/16 8:00,0.69624
Chlorodinine,6,4/1/16 8:00,0.690937
Methylosmolene,2,4/1/16 8:00,0.553491
AGOC-3A,6,4/1/16 8:00,0.545655
Appluimonia,7,4/1/16 8:00,0.521752
Chlorodinine,8,4/1/16 8:00,0.521053
Appluimonia,2,4/1/16 8:00,0.476664
AGOC-3A,7,4/1/16 8:00,0.451286
Appluimonia,9,4/1/16 8:00,0.419446
Chlorodinine,1,4/1/16 8:00,0.380071
Appluimonia,1,4/1/16 8:00,0.366206
Chlorodinine,2,4/1/16 8:00,0.349802
Appluimonia,4,4/1/16 8:00,0.340732
Chlorodinine,9,4/1/16 8:00,0.331285
Chlorodinine,5,4/1/16 8:00,0.306871
Methylosmolene,1,4/1/16 8:00,0.292984
AGOC-3A,2,4/1/16 8:00,0.285264
Methylosmolene,9,4/1/16 8:00,0.263384
Appluimonia,5,4/1/16 8:00,0.246648
Chlorodinine,7,4/1/16 8:00,0.202865
Methylosmolene,5,4/1/16 8:00,0.177531
Methylosmolene,6,4/1/16 8:00,0.169993
Methylosmolene,4,4/1/16 8:00,0.165458
AGOC-3A,4,4/1/16 8:00,0.1416
Methylosmolene,7,4/1/16 8:00,0.129355
Chlorodinine,4,4/1/16 8:00,0.112167
AGOC-3A,9,4/1/16 8:00,0.0810158
AGOC-3A,5,4/1/16 8:00,0.071417
AGOC-3A,1,4/1/16 8:00,0.0343286
Methylosmolene,8,4/1/16 8:00,0.024255
AGOC-3A,8,4/1/16 8:00,0.0133735
Methylosmolene,3,4/1/16 9:00,1.90111
Appluimonia,3,4/1/16 9:00,1.78909
Appluimonia,7,4/1/16 9:00,0.915939
Chlorodinine,2,4/1/16 9:00,0.71666
Methylosmolene,7,4/1/16 9:00,0.714198
Chlorodinine,7,4/1/16 9:00,0.659626
Chlorodinine,3,4/1/16 9:00,0.655028
AGOC-3A,7,4/1/16 9:00,0.639886
Methylosmolene,6,4/1/16 9:00,0.601663
Appluimonia,2,4/1/16 9:00,0.586124
AGOC-3A,3,4/1/16 9:00,0.544795
Methylosmolene,4,4/1/16 9:00,0.522087
Methylosmolene,2,4/1/16 9:00,0.474724
Appluimonia,8,4/1/16 9:00,0.451534
AGOC-3A,6,4/1/16 9:00,0.407047
Appluimonia,9,4/1/16 9:00,0.37218
AGOC-3A,8,4/1/16 9:00,0.307569
Methylosmolene,8,4/1/16 9:00,0.304597
Appluimonia,1,4/1/16 9:00,0.300466
Chlorodinine,4,4/1/16 9:00,0.288103
Appluimonia,6,4/1/16 9:00,0.274487
AGOC-3A,1,4/1/16 9:00,0.270683
AGOC-3A,9,4/1/16 9:00,0.230418
Appluimonia,5,4/1/16 9:00,0.217195
Chlorodinine,1,4/1/16 9:00,0.204093
AGOC-3A,2,4/1/16 9:00,0.201245
AGOC-3A,4,4/1/16 9:00,0.201125
Chlorodinine,6,4/1/16 9:00,0.199124
Methylosmolene,9,4/1/16 9:00,0.126885
Chlorodinine,9,4/1/16 9:00,0.10603
Methylosmolene,1,4/1/16 9:00,0.0988394
Chlorodinine,8,4/1/16 9:00,0.0948834
Chlorodinine,5,4/1/16 9:00,0.0700218
AGOC-3A,5,4/1/16 9:00,0.0455874
Methylosmolene,5,4/1/16 9:00,0.0419438
Appluimonia,4,4/1/16 9:00,0.041054
Methylosmolene,6,4/1/16 10:00,0.786521
AGOC-3A,3,4/1/16 10:00,0.772321
Methylosmolene,8,4/1/16 10:00,0.756304
Chlorodinine,8,4/1/16 10:00,0.726825
Methylosmolene,3,4/1/16 10:00,0.670043
Appluimonia,7,4/1/16 10:00,0.657709
Chlorodinine,3,4/1/16 10:00,0.572236
AGOC-3A,6,4/1/16 10:00,0.565408
Chlorodinine,7,4/1/16 10:00,0.483525
Methylosmolene,1,4/1/16 10:00,0.457522
AGOC-3A,5,4/1/16 10:00,0.44956
Chlorodinine,6,4/1/16 10:00,0.417886
Appluimonia,4,4/1/16 10:00,0.384311
Chlorodinine,1,4/1/16 10:00,0.374429
Methylosmolene,9,4/1/16 10:00,0.337672
Appluimonia,3,4/1/16 10:00,0.332215
Appluimonia,5,4/1/16 10:00,0.326147
Appluimonia,9,4/1/16 10:00,0.304952
Appluimonia,2,4/1/16 10:00,0.289997
Chlorodinine,2,4/1/16 10:00,0.274667
AGOC-3A,9,4/1/16 10:00,0.271139
Appluimonia,1,4/1/16 10:00,0.268343
AGOC-3A,8,4/1/16 10:00,0.24401
Methylosmolene,7,4/1/16 10:00,0.218184
AGOC-3A,2,4/1/16 10:00,0.200995
Chlorodinine,5,4/1/16 10:00,0.192601
Appluimonia,8,4/1/16 10:00,0.183642
Methylosmolene,5,4/1/16 10:00,0.163966
AGOC-3A,4,4/1/16 10:00,0.162566
Appluimonia,6,4/1/16 10:00,0.156522
AGOC-3A,7,4/1/16 10:00,0.152753
Methylosmolene,4,4/1/16 10:00,0.141456
Chlorodinine,4,4/1/16 10:00,0.128094
Chlorodinine,9,4/1/16 10:00,0.057487
AGOC-3A,1,4/1/16 10:00,0.0251836
Methylosmolene,2,4/1/16 10:00,0.00298162
Methylosmolene,3,4/1/16 11:00,4.39846
Appluimonia,3,4/1/16 11:00,1.02831
AGOC-3A,3,4/1/16 11:00,0.967785
Methylosmolene,8,4/1/16 11:00,0.87337
Methylosmolene,7,4/1/16 11:00,0.854138
Appluimonia,8,4/1/16 11:00,0.78212
Methylosmolene,9,4/1/16 11:00,0.773302
Chlorodinine,3,4/1/16 11:00,0.70332
Chlorodinine,6,4/1/16 11:00,0.559303
AGOC-3A,9,4/1/16 11:00,0.502717
Appluimonia,7,4/1/16 11:00,0.453267
AGOC-3A,6,4/1/16 11:00,0.430635
Appluimonia,5,4/1/16 11:00,0.42455
Appluimonia,6,4/1/16 11:00,0.404981
Chlorodinine,1,4/1/16 11:00,0.392052
Methylosmolene,6,4/1/16 11:00,0.29769
Methylosmolene,4,4/1/16 11:00,0.259342
Methylosmolene,2,4/1/16 11:00,0.242137
Chlorodinine,9,4/1/16 11:00,0.241334
Chlorodinine,4,4/1/16 11:00,0.234759
Chlorodinine,2,4/1/16 11:00,0.229816
Methylosmolene,1,4/1/16 11:00,0.228423
Chlorodinine,7,4/1/16 11:00,0.227113
AGOC-3A,5,4/1/16 11:00,0.18658
AGOC-3A,4,4/1/16 11:00,0.171654
Chlorodinine,8,4/1/16 11:00,0.16321
Appluimonia,2,4/1/16 11:00,0.150965
Methylosmolene,5,4/1/16 11:00,0.143529
Appluimonia,1,4/1/16 11:00,0.132435
Appluimonia,9,4/1/16 11:00,0.120384
AGOC-3A,2,4/1/16 11:00,0.11802
AGOC-3A,1,4/1/16 11:00,0.0669641
AGOC-3A,8,4/1/16 11:00,0.0666572
Appluimonia,4,4/1/16 11:00,0.036502
Chlorodinine,5,4/1/16 11:00,0.025848
AGOC-3A,7,4/1/16 11:00,0.0143858
Methylosmolene,3,4/1/16 12:00,2.97161
Methylosmolene,7,4/1/16 12:00,1.9822
Chlorodinine,3,4/1/16 12:00,0.833999
AGOC-3A,2,4/1/16 12:00,0.81394
Chlorodinine,7,4/1/16 12:00,0.672943
Appluimonia,8,4/1/16 12:00,0.555826
Chlorodinine,4,4/1/16 12:00,0.496377
AGOC-3A,1,4/1/16 12:00,0.469625
AGOC-3A,7,4/1/16 12:00,0.435586
Appluimonia,7,4/1/16 12:00,0.417883
Appluimonia,3,4/1/16 12:00,0.399123
AGOC-3A,5,4/1/16 12:00,0.396962
Appluimonia,6,4/1/16 12:00,0.387515
Methylosmolene,1,4/1/16 12:00,0.357148
Chlorodinine,5,4/1/16 12:00,0.346274
Chlorodinine,8,4/1/16 12:00,0.275282
Methylosmolene,4,4/1/16 12:00,0.268327
Chlorodinine,6,4/1/16 12:00,0.264588
Appluimonia,9,4/1/16 12:00,0.236189
Chlorodinine,1,4/1/16 12:00,0.233285
Appluimonia,4,4/1/16 12:00,0.229907
Methylosmolene,6,4/1/16 12:00,0.213574
Methylosmolene,5,4/1/16 12:00,0.208672
Chlorodinine,2,4/1/16 12:00,0.203687
Chlorodinine,9,4/1/16 12:00,0.192999
AGOC-3A,8,4/1/16 12:00,0.189639
AGOC-3A,3,4/1/16 12:00,0.165788
Appluimonia,2,4/1/16 12:00,0.127155
Methylosmolene,2,4/1/16 12:00,0.10236
AGOC-3A,4,4/1/16 12:00,0.0969047
AGOC-3A,9,4/1/16 12:00,0.0870258
Methylosmolene,8,4/1/16 12:00,0.0784863
Appluimonia,5,4/1/16 12:00,0.0766411
Methylosmolene,9,4/1/16 12:00,0.0730682
AGOC-3A,6,4/1/16 12:00,0.0475963
Appluimonia,1,4/1/16 12:00,0.032094
AGOC-3A,7,4/1/16 13:00,2.9472
Chlorodinine,3,4/1/16 13:00,1.90125
Methylosmolene,7,4/1/16 13:00,1.60229
Methylosmolene,3,4/1/16 13:00,1.52117
Chlorodinine,8,4/1/16 13:00,0.885737
Appluimonia,7,4/1/16 13:00,0.829324
Chlorodinine,7,4/1/16 13:00,0.819536
Methylosmolene,8,4/1/16 13:00,0.742678
Appluimonia,6,4/1/16 13:00,0.615335
Appluimonia,8,4/1/16 13:00,0.589898
AGOC-3A,6,4/1/16 13:00,0.484358
Appluimonia,3,4/1/16 13:00,0.453212
Chlorodinine,2,4/1/16 13:00,0.433455
Methylosmolene,4,4/1/16 13:00,0.42977
AGOC-3A,4,4/1/16 13:00,0.416789
Methylosmolene,6,4/1/16 13:00,0.384708
Chlorodinine,6,4/1/16 13:00,0.356287
Appluimonia,2,4/1/16 13:00,0.331087
AGOC-3A,1,4/1/16 13:00,0.271808
Chlorodinine,4,4/1/16 13:00,0.271384
Appluimonia,1,4/1/16 13:00,0.24354
Chlorodinine,1,4/1/16 13:00,0.235847
Methylosmolene,1,4/1/16 13:00,0.223932
AGOC-3A,2,4/1/16 13:00,0.219576
Methylosmolene,9,4/1/16 13:00,0.206465
AGOC-3A,8,4/1/16 13:00,0.170308
AGOC-3A,9,4/1/16 13:00,0.13544
AGOC-3A,3,4/1/16 13:00,0.129685
Appluimonia,5,4/1/16 13:00,0.107169
Appluimonia,4,4/1/16 13:00,0.102078
Chlorodinine,5,4/1/16 13:00,0.0744315
Appluimonia,9,4/1/16 13:00,0.0456287
AGOC-3A,5,4/1/16 13:00,0.0225215
Methylosmolene,2,4/1/16 13:00,0.0167204
Chlorodinine,9,4/1/16 13:00,0.0159372
Methylosmolene,5,4/1/16 13:00,0.00629568
Chlorodinine,7,4/1/16 14:00,2.18663
AGOC-3A,3,4/1/16 14:00,2.06584
Appluimonia,3,4/1/16 14:00,1.68447
Chlorodinine,3,4/1/16 14:00,0.986431
AGOC-3A,2,4/1/16 14:00,0.985069
Methylosmolene,2,4/1/16 14:00,0.833012
Methylosmolene,8,4/1/16 14:00,0.787857
Methylosmolene,4,4/1/16 14:00,0.744591
Appluimonia,2,4/1/16 14:00,0.60598
AGOC-3A,9,4/1/16 14:00,0.542312
Methylosmolene,6,4/1/16 14:00,0.475952
Chlorodinine,1,4/1/16 14:00,0.440393
Chlorodinine,8,4/1/16 14:00,0.440045
Appluimonia,6,4/1/16 14:00,0.424518
Appluimonia,7,4/1/16 14:00,0.397431
Chlorodinine,6,4/1/16 14:00,0.378116
Chlorodinine,2,4/1/16 14:00,0.338016
AGOC-3A,7,4/1/16 14:00,0.329869
Methylosmolene,1,4/1/16 14:00,0.283356
Methylosmolene,5,4/1/16 14:00,0.281457
Chlorodinine,9,4/1/16 14:00,0.248804
AGOC-3A,6,4/1/16 14:00,0.240171
Appluimonia,5,4/1/16 14:00,0.239086
Appluimonia,9,4/1/16 14:00,0.229613
Methylosmolene,9,4/1/16 14:00,0.209022
Methylosmolene,3,4/1/16 14:00,0.19548
Appluimonia,1,4/1/16 14:00,0.187208
Chlorodinine,5,4/1/16 14:00,0.101092
Appluimonia,4,4/1/16 14:00,0.100419
Chlorodinine,4,4/1/16 14:00,0.0965608
Appluimonia,8,4/1/16 14:00,0.0813537
AGOC-3A,4,4/1/16 14:00,0.0551616
AGOC-3A,5,4/1/16 14:00,0.0458705
AGOC-3A,1,4/1/16 14:00,0.0306601
AGOC-3A,8,4/1/16 14:00,0.0140477
Methylosmolene,7,4/1/16 14:00,0.0131358
AGOC-3A,3,4/1/16 15:00,1.8144
Appluimonia,3,4/1/16 15:00,1.34866
AGOC-3A,7,4/1/16 15:00,0.927829
Methylosmolene,2,4/1/16 15:00,0.837112
Methylosmolene,3,4/1/16 15:00,0.773566
AGOC-3A,2,4/1/16 15:00,0.62139
AGOC-3A,6,4/1/16 15:00,0.589017
Methylosmolene,7,4/1/16 15:00,0.548344
AGOC-3A,8,4/1/16 15:00,0.531765
Chlorodinine,6,4/1/16 15:00,0.483222
Appluimonia,8,4/1/16 15:00,0.447587
Appluimonia,4,4/1/16 15:00,0.438771
AGOC-3A,5,4/1/16 15:00,0.43167
Methylosmolene,4,4/1/16 15:00,0.430541
Methylosmolene,9,4/1/16 15:00,0.333781
Appluimonia,9,4/1/16 15:00,0.298941
Chlorodinine,3,4/1/16 15:00,0.280986
Chlorodinine,8,4/1/16 15:00,0.272041
AGOC-3A,1,4/1/16 15:00,0.266658
Chlorodinine,7,4/1/16 15:00,0.262528
